feature,importance
weather_enc,0.24332106559698471
visibility,0.12314864477830818
longitude,0.1077670346669476
latitude,0.08810675414540457
is_night,0.08005696968172525
speed_limit,0.06233770992269303
junction,0.04820616515516613
is_weekend,0.04465871410804402
day_of_week,0.039479371731510976
wind_speed,0.03488667386277617
temperature,0.03467488679648347
precipitation,0.03344126919723093
hour,0.022702653828724006
traffic_density,0.020976193597352946
month,0.011663079718066125
road_type_enc,0.00457281321258184
